depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium,darkas
30.0,11.92,33.23,6.07,99.0,8.3,6.1,0.42,30,0.76,0.2,25.231,273.6,0.083,0.91,0.05
34.0,11.89,33.229,6.04,98.5,8.3,6.2,0.38,34,0.77,0.2,25.236,273.2,0.094,0.86,0.03
44.0,11.66,33.214,5.9,95.7,8.4,7.0,0.24,44,0.81,0.21,25.267,270.4,0.121,0.47,0.03
0.0,14.75,33.258,5.92,102.5,2.4,0.0,0.2,0,0.34,0.02,24.684,324.9,0.0,0.0,0.05
1.0,14.75,33.258,5.92,102.5,2.4,0.0,0.2,1,0.34,0.02,24.684,324.9,0.003,0.0,0.05
17.0,14.56,33.269,5.92,102.1,2.3,0.0,0.19,17,0.33,0.05,24.733,320.7,0.055,0.0,0.05
20.0,14.45,33.273,5.92,101.8,2.3,0.0,0.19,20,0.33,0.05,24.76,318.2,0.065,0.0,0.05
30.0,14.43,33.283,5.93,102.0,2.2,0.0,0.2,30,0.33,0.05,24.772,317.3,0.096,0.0,0.04
40.0,14.39,33.28,5.93,101.9,2.1,0.0,0.25,40,0.33,0.06,24.779,317.0,0.128,0.0,0.04
50.0,14.4,33.279,5.93,101.9,2.1,0.0,0.26,50,0.33,0.07,24.776,317.6,0.16,0.0,0.04
64.0,14.32,33.265,5.92,101.5,2.0,0.0,0.32,64,0.34,0.09,24.782,317.3,0.204,0.02,0.04
75.0,14.08,33.206,5.95,101.5,1.9,0.0,0.42,75,0.35,0.08,24.787,317.2,0.239,0.03,0.03
81.0,13.9,33.174,5.94,101.0,1.8,0.0,0.35,81,0.37,0.15,24.8,316.1,0.258,0.11,0.03
100.0,13.35,33.19,5.72,96.1,3.1,2.2,0.19,100,0.49,0.1,24.925,304.7,0.318,0.01,0.02
113.0,12.08,33.17,5.37,87.8,5.8,6.8,0.09,113,0.79,0.07,25.156,282.7,0.356,0.0,0.01
0.0,14.61,33.529,6.59,113.9,0.0,0.1,0.98,0,0.24,0.25,24.923,302.1,0.0,0.17,0.21
